,well,BHP,Fluid_newest,Fluid_lowest,Fluid_median
0,MPB-28,0,4970.430723610239,2919.3989350361176,7266.067920737504
0,MPB-28,10,4964.995109124497,2916.2063088788786,7258.12181983789
0,MPB-28,20,4959.331586274571,2912.8798199896796,7249.842549089236
0,MPB-28,30,4953.440155060465,2909.419468368521,7241.230108491541
0,MPB-28,40,4947.320815482177,2905.825254015403,7232.284498044806
0,MPB-28,50,4940.973567539707,2902.097176930325,7223.00571774903
0,MPB-28,60,4934.398411233054,2898.235237113287,7213.393767604214
0,MPB-28,70,4927.59534656222,2894.23943456429,7203.448647610358
0,MPB-28,80,4920.564373527203,2890.109769283333,7193.170357767462
0,MPB-28,90,4913.3054921280045,2885.8462412704166,7182.558898075525
0,MPB-28,100,4905.818702364623,2881.44885052554,7171.614268534547
0,MPB-28,110,4898.1040042370605,2876.917597048704,7160.336469144529
0,MPB-28,120,4890.161397745315,2872.2524808399075,7148.725499905469
0,MPB-28,130,4881.990882889389,2867.4535018991523,7136.781360817372
0,MPB-28,140,4873.592459669279,2862.520660226437,7124.5040518802325
0,MPB-28,150,4864.966128084988,2857.4539558217616,7111.893573094052
0,MPB-28,160,4856.111888136515,2852.253388685127,7098.949924458831
0,MPB-28,170,4847.029739823859,2846.9189588165327,7085.673105974572
0,MPB-28,180,4837.719683147022,2841.4506662159783,7072.06311764127
0,MPB-28,190,4828.181718106002,2835.8485108834648,7058.119959458929
0,MPB-28,200,4818.415844700801,2830.112492818991,7043.843631427548
0,MPB-28,210,4808.422062931418,2824.242612022558,7029.234133547126
0,MPB-28,220,4798.200372797853,2818.2388684941648,7014.291465817663
0,MPB-28,230,4787.750774300104,2812.101262233812,6999.01562823916
0,MPB-28,240,4777.073267438175,2805.8297932415,6983.406620811616
0,MPB-28,250,4766.167852212063,2799.4244615172274,6967.464443535033
0,MPB-28,260,4755.034528621769,2792.885267060996,6951.189096409408
0,MPB-28,270,4743.6732966672935,2786.212209872804,6934.580579434743
0,MPB-28,280,4732.084156348635,2779.4052899526528,6917.6388926110385
0,MPB-28,290,4720.267107665794,2772.4645073005418,6900.364035938293
0,MPB-28,300,4708.2221506187725,2765.389861916471,6882.7560094165065
0,MPB-28,310,4695.949285207568,2758.181353800441,6864.81481304568
0,MPB-28,320,4683.4485114321815,2750.838982952451,6846.540446825813
0,MPB-28,330,4670.719829292613,2743.3627493725007,6827.9329107569065
0,MPB-28,340,4657.763238788863,2735.7526530605915,6808.992204838958
0,MPB-28,350,4644.578739920931,2728.0086940167225,6789.718329071971
0,MPB-28,360,4631.1663326888165,2720.1308722408935,6770.111283455943
0,MPB-28,370,4617.52601709252,2712.119187733105,6750.171067990874
0,MPB-28,380,4603.657793132042,2703.9736404933565,6729.897682676765
0,MPB-28,390,4589.561660807381,2695.6942305216485,6709.291127513615
0,MPB-28,400,4575.237620118538,2687.2809578179804,6688.351402501425
0,MPB-28,410,4560.685671065513,2678.733822382353,6667.078507640194
0,MPB-28,420,4545.905813648305,2670.0528242147657,6645.472442929923
0,MPB-28,430,4530.898047866917,2661.237963315219,6623.533208370613
0,MPB-28,440,4515.662373721346,2652.2892396837124,6601.26080396226
0,MPB-28,450,4500.198791211593,2643.206653320246,6578.655229704868
0,MPB-28,460,4484.507300337657,2633.99020422482,6555.716485598436
0,MPB-28,470,4468.58790109954,2624.639892397434,6532.444571642962
0,MPB-28,480,4452.440593497242,2615.155717838089,6508.83948783845
0,MPB-28,490,4436.06537753076,2605.537680546784,6484.901234184896
0,MPB-28,500,4419.462253200097,2595.785780523519,6460.6298106823015
0,MPB-28,510,4402.631220505251,2585.900017768294,6436.025217330667
0,MPB-28,520,4385.572279446224,2575.88039228111,6411.087454129991
0,MPB-28,530,4368.285430023014,2565.726904061966,6385.816521080276
0,MPB-28,540,4350.7706722356215,2555.439553110862,6360.21241818152
0,MPB-28,550,4333.028006084048,2545.0183394277988,6334.275145433723
0,MPB-28,560,4315.0574315682925,2534.4632630127758,6308.004702836887
0,MPB-28,570,4296.858948688354,2523.7743238657927,6281.401090391009
0,MPB-28,580,4278.432557444234,2512.95152198685,6254.464308096091
0,MPB-28,590,4259.778257835932,2501.994857375948,6227.194355952134
0,MPB-28,600,4240.896049863448,2490.904330033086,6199.591233959136
0,MPB-28,610,4221.785933526782,2479.679939958264,6171.654942117097
0,MPB-28,620,4202.447908825934,2468.321687151483,6143.385480426018
0,MPB-28,630,4182.8819757609035,2456.8295716127423,6114.782848885899
0,MPB-28,640,4163.088134331691,2445.2035933420416,6085.847047496739
0,MPB-28,650,4143.066384538297,2433.443752339381,6056.578076258538
0,MPB-28,660,4122.816726380721,2421.5500486047604,6026.975935171297
0,MPB-28,670,4102.3391598589615,2409.5224821381803,5997.0406242350155
0,MPB-28,680,4081.6336849730214,2397.361052939641,5966.772143449694
0,MPB-28,690,4060.7003017228985,2385.065761009141,5936.170492815332
0,MPB-28,700,4039.5390101085936,2372.636606346682,5905.235672331929
0,MPB-28,710,4018.1498101301067,2360.0735889522634,5873.967681999487
0,MPB-28,720,3996.532701787438,2347.3767088258846,5842.366521818002
0,MPB-28,730,3974.687685080587,2334.5459659675466,5810.432191787479
0,MPB-28,740,3952.614760009554,2321.581360377249,5778.164691907915
0,MPB-28,750,3930.3139265743393,2308.4828920549917,5745.564022179311
0,MPB-28,760,3907.7851847749425,2295.2505610007743,5712.630182601666
0,MPB-28,770,3885.028534611363,2281.884367214597,5679.36317317498
0,MPB-28,780,3862.0439760836016,2268.3843106964605,5645.762993899255
0,MPB-28,790,3838.8315091916584,2254.750391446364,5611.829644774489
0,MPB-28,800,3815.3911339355327,2240.9826094643076,5577.5631258006815
0,MPB-28,810,3791.7228503152255,2227.080964750292,5542.963436977834
0,MPB-28,820,3767.826658330736,2213.045457304316,5508.0305783059475
0,MPB-28,830,3743.702557982064,2198.8760871263808,5472.764549785018
0,MPB-28,840,3719.3505492692107,2184.5728542164857,5437.16535141505
0,MPB-28,850,3694.770632192175,2170.1357585746314,5401.232983196042
0,MPB-28,860,3669.9628067509566,2155.5648002008165,5364.9674451279925
0,MPB-28,870,3644.927072945557,2140.8599790950425,5328.3687372109025
0,MPB-28,880,3619.663430775975,2126.0212952573083,5291.436859444772
0,MPB-28,890,3594.171880242211,2111.048748687615,5254.171811829602
0,MPB-28,900,3568.452421344265,2095.942339385962,5216.573594365392
0,MPB-28,910,3542.505054082137,2080.702067352349,5178.64220705214
0,MPB-28,920,3516.329778455827,2065.3279325867766,5140.37764988985
0,MPB-28,930,3489.9265944653353,2049.819935089244,5101.779922878518
0,MPB-28,940,3463.2955021106604,2034.1780748597519,5062.849026018144
0,MPB-28,950,3436.4365013918045,2018.4023518983004,5023.584959308732
0,MPB-28,960,3409.3495923087658,2002.4927662048883,4983.987722750278
0,MPB-28,970,3382.0347748615454,1986.4493177795173,4944.057316342784
