,Well,pf_pres,bhp,Fluid_newest_interpolated,Fluid_lowest_interpolated,Fluid_median_interpolated
0,MPB-28,1800,1396.7258296345324,1370.924440958313,1177.0844337711933,831.2461538766236
1,MPB-28,1850,1393.846456884817,1378.23501095801,1183.3613356131525,835.6788439748802
2,MPB-28,1900,1390.9670841351015,1385.545580957707,1189.6382374551117,840.1115340731369
3,MPB-28,1950,1388.087711385386,1392.8263370412235,1195.8895408792462,844.5261468051897
4,MPB-28,2000,1385.2083386356705,1400.0920156070874,1202.1278986509444,848.9316174370769
5,MPB-28,2050,1382.328965885955,1407.3576941729514,1208.3662564226427,853.3370880689641
6,MPB-28,2100,1379.4495931362396,1414.6147915110782,1214.5972462976938,857.7373555602995
7,MPB-28,2150,1376.5702203865242,1421.8355786431093,1220.7970599991315,862.1156067258175
8,MPB-28,2200,1373.6908476368087,1429.0563657751404,1226.9968737005693,866.4938578913354
9,MPB-28,2250,1370.8114748870933,1436.2771529071717,1233.196687402007,870.8721090568533
10,MPB-28,2300,1367.9321021373778,1443.465700066076,1239.3688196577143,875.2308118411022
11,MPB-28,2350,1365.0527293876623,1450.6415957642741,1245.5300892888913,879.5818435402507
12,MPB-28,2400,1362.1733566379469,1457.8174914624724,1251.6913589200683,883.9328752393992
13,MPB-28,2450,1359.2939838882314,1464.982379875987,1257.8431776266923,888.2772327829308
14,MPB-28,2500,1356.414611138516,1472.1133841403519,1263.9659031876085,892.6010450157098
15,MPB-28,2550,1353.5352383888005,1479.244388404717,1270.0886287485246,896.9248572484888
16,MPB-28,2600,1350.655865639085,1486.3753926690822,1276.2113543094408,901.2486694812678
17,MPB-28,2650,1347.7764928893696,1493.471730903374,1282.304315396721,905.5514623177128
18,MPB-28,2700,1344.8971201396541,1500.5578437339063,1288.3884968873765,909.8480550841225
19,MPB-28,2750,1342.0177473899387,1507.6439565644384,1294.4726783780322,914.1446478505322
20,MPB-28,2800,1339.1383746402232,1514.7166360533406,1300.545325916229,918.4330954462599
21,MPB-28,2850,1336.2590018905078,1521.7578574500399,1306.5909633366239,922.7024687463002
22,MPB-28,2900,1333.3796291407923,1528.7990788467391,1312.6366007570186,926.9718420463403
23,MPB-28,2950,1330.5002563910768,1535.8403002434382,1318.6822381774132,931.2412153463805
24,MPB-28,3000,1327.6208836413614,1542.8444295531176,1324.6960280962662,935.4880982350215
25,MPB-28,3050,1324.741510891646,1549.840759515984,1330.7031214464002,939.7302520686924
26,MPB-28,3100,1321.8621381419305,1556.8370894788504,1336.7102147965343,943.9724059023633
27,MPB-28,3150,1318.982765392215,1563.8175600431402,1342.7036911663042,948.2049435502871
28,MPB-28,3200,1316.1033926424996,1570.7689985721736,1348.6722404461775,952.4198779175886
29,MPB-28,3250,1313.224019892784,1577.720437101207,1354.6407897260508,956.63481228489
30,MPB-28,3300,1310.3446471430686,1584.6718756302405,1360.609339005924,960.8497466521915
31,MPB-30,1800,1114.7822467673423,385.22784668552566,416.0708945115366,812.9128118207344
32,MPB-30,1850,1108.2401787265812,389.08586323837983,420.23780095923354,821.0540485226381
33,MPB-30,1900,1101.6981106858202,392.9225034112688,424.38161953929574,829.1501765095477
34,MPB-30,1950,1095.156042645059,396.737491361261,428.5020523235845,837.2006136941213
35,MPB-30,2000,1088.613974604298,400.53869339263576,432.6075954275446,845.2219596539477
36,MPB-30,2050,1082.071906563537,404.3168481970356,436.6882460414472,853.194671055691
37,MPB-30,2100,1075.5298385227757,408.0750216255485,440.74731548199924,861.1252174981872
38,MPB-30,2150,1068.9877704820146,411.819409135444,444.7914952422226,869.0266727159362
39,MPB-30,2200,1062.4457024412536,415.5390785713547,448.8089778899658,876.8759675325132
40,MPB-30,2250,1055.9036344004926,419.2404374783881,452.80668398678085,884.6866232329318
41,MPB-30,2300,1049.3615663597316,422.9280104668042,456.7895004032673,892.4681877086032
42,MPB-30,2350,1042.8194983189705,426.5891945342257,460.74381508485106,900.1940659400138
43,MPB-30,2400,1036.2774302782093,430.23373891978,464.68015783792947,907.8848308983554
44,MPB-30,2450,1029.7353622374483,433.8644973867168,468.6016109106792,915.5465046319496
45,MPB-30,2500,1023.1932941966872,437.4671960856491,472.4927576261034,923.1489662781938
46,MPB-30,2550,1016.6512261559261,441.05492594972395,476.3677370354449,930.7198404944577
47,MPB-30,2600,1010.109158115165,444.62838196441174,480.2272997677894,938.2605938481189
48,MPB-30,2650,1003.567090074404,448.1730832256246,484.0558055137226,945.7406685470525
49,MPB-30,2700,997.0250220336429,451.7039985682201,487.86942157932725,953.1916520212388
50,MPB-30,2750,990.4829539928819,455.2189692144187,491.66581634551227,960.6089887897338
51,MPB-30,2800,983.9408859521208,458.7068559541523,495.4329587477087,967.96917274659
52,MPB-30,2850,977.3988179113596,462.18095677526844,499.18521146957664,975.300265478699
53,MPB-30,2900,970.8567498705986,465.6374420529778,502.918438269602,982.5941856620274
54,MPB-30,2950,964.3146818298376,469.068514271232,506.62421732806166,989.834478876806
55,MPB-30,3000,957.7726137890764,472.4858005708689,510.3151067061928,997.0456808668378
56,MPB-30,3050,951.2305457483153,475.88380048008923,513.9851655400589,1004.2161844650002
57,MPB-30,3100,944.6884777075543,479.25805817686415,517.6295812547818,1011.3365869377016
58,MPB-30,3150,938.1464096667933,482.6185299550216,521.259107289176,1018.4278981856556
59,MPB-30,3200,931.6043416260321,485.95804449575263,524.8659981568825,1025.4749851986514
60,MPB-30,3250,925.0622735852711,489.2754876710482,528.4490505278684,1032.4754969292753
61,MPB-30,3300,918.52020554451,492.5791449277265,532.017213218526,1039.4469174351523
62,MPB-32,1800,636.3213436362355,264.5992225983705,251.85375383898548,281.86044625026227
63,MPB-32,1850,623.2977434339499,273.5847708986902,260.4064776433636,291.4321699645669
