,well,BHP,Fluid_newest,Fluid_lowest,Fluid_median
0,MPG-02,0,394.2434784507897,546.7,597.6397965152704
0,MPG-02,10,393.8288797675788,546.1250733049484,597.011299948521
0,MPG-02,20,393.39753807848365,545.5269289745589,596.3574223997728
0,MPG-02,30,392.949453383504,544.9055670088317,595.6781638690254
0,MPG-02,40,392.48462568264017,544.2609874077666,594.9735243562791
0,MPG-02,50,392.0030549758919,543.5931901713639,594.2435038615339
0,MPG-02,60,391.50474126325935,542.9021752996233,593.4881023847897
0,MPG-02,70,390.9896845447425,542.1879427925451,592.7073199260466
0,MPG-02,80,390.4578848203412,541.4504926501288,591.9011564853043
0,MPG-02,90,389.90934209005565,540.689824872375,591.0696120625632
0,MPG-02,100,389.3440563538857,539.9059394592833,590.2126866578233
0,MPG-02,110,388.7620276118315,539.0988364108539,589.3303802710842
0,MPG-02,120,388.1632558638929,538.2685157270867,588.4226929023462
0,MPG-02,130,387.5477411100699,537.4149774079816,587.4896245516092
0,MPG-02,140,386.9154833503627,536.5382214535389,586.5311752188734
0,MPG-02,150,386.2664825847711,535.6382478637584,585.5473449041384
0,MPG-02,160,385.60073881329515,534.71505663864,584.5381336074046
0,MPG-02,170,384.9182520359349,533.7686477781839,583.5035413286718
0,MPG-02,180,384.21902225269025,532.79902128239,582.44356806794
0,MPG-02,190,383.5030494635613,531.8061771512583,581.3582138252092
0,MPG-02,200,382.77033366854806,530.7901153847889,580.2474786004796
0,MPG-02,210,382.0208748676505,529.7508359829818,579.1113623937509
0,MPG-02,220,381.2546730608685,528.6883389458368,577.9498652050232
0,MPG-02,230,380.47172824820217,527.602624273354,576.7629870342965
0,MPG-02,240,379.6720404296516,526.4936919655335,575.550727881571
0,MPG-02,250,378.8556096052166,525.3615420223751,574.3130877468465
0,MPG-02,260,378.0224357748973,524.2061744438791,573.050066630123
0,MPG-02,270,377.1725189386937,523.0275892300452,571.7616645314006
0,MPG-02,280,376.3058590966057,521.8257863808736,570.447881450679
0,MPG-02,290,375.4224562486334,520.6007658963642,569.1087173879587
0,MPG-02,300,374.52231039477675,519.352527776517,567.7441723432393
0,MPG-02,310,373.60542153503576,518.0810720213321,566.354246316521
0,MPG-02,320,372.6717896694105,516.7863986308093,564.9389393078037
0,MPG-02,330,371.7214147979008,515.4685076049489,563.4982513170875
0,MPG-02,340,370.75429692050676,514.1273989437504,562.0321823443721
0,MPG-02,350,369.7704360372285,512.7630726472145,560.540732389658
0,MPG-02,360,368.7698321480658,511.37552871534064,559.0239014529449
0,MPG-02,370,367.7524852530188,509.964767148129,557.4816895342327
0,MPG-02,380,366.71839535208744,508.53078794557956,555.9140966335217
0,MPG-02,390,365.66756244527176,507.0735911076924,554.3211227508116
0,MPG-02,400,364.5999865325718,505.5931766344675,552.7027678861026
0,MPG-02,410,363.51566761398743,504.0895445259048,551.0590320393947
0,MPG-02,420,362.41460568951874,502.5626947820043,549.3899152106877
0,MPG-02,430,361.2968007591657,501.012627402766,547.6954173999818
0,MPG-02,440,360.16225282292834,499.4393423881899,545.9755386072769
0,MPG-02,450,359.01096188080663,497.8428397382761,544.230278832573
0,MPG-02,460,357.84292793280065,496.2231194530245,542.4596380758702
0,MPG-02,470,356.65815097891027,494.5801815324351,540.6636163371685
0,MPG-02,480,355.4566310191355,492.9140259765079,538.8422136164677
0,MPG-02,490,354.2383680534765,491.224652785243,536.995429913768
0,MPG-02,500,353.0033620819331,489.5120619586403,535.1232652290694
0,MPG-02,510,351.7516131045054,487.77625349669984,533.2257195623718
0,MPG-02,520,350.4831211211934,486.0172273994216,531.3027929136751
0,MPG-02,530,349.197886131997,484.23498366680553,529.3544852829796
0,MPG-02,540,347.8959081369162,482.4295222988517,527.380796670285
0,MPG-02,550,346.57718713595114,480.6008432955601,525.3817270755915
0,MPG-02,560,345.2417231291018,478.74894665693074,523.3572764988991
0,MPG-02,570,343.88951611636804,476.87383238296366,521.3074449402077
0,MPG-02,580,342.52056609774996,474.9755004736587,519.2322323995173
0,MPG-02,590,341.13487307324755,473.05395092901597,517.1316388768279
0,MPG-02,600,339.7324370428608,471.10918374903554,515.0056643721396
0,MPG-02,610,338.31325800658976,469.1411989337173,512.8543088854523
0,MPG-02,620,336.87733596443434,467.1499964830613,510.67757241676605
0,MPG-02,630,335.4246709163946,465.1355763970675,508.47545496608086
0,MPG-02,640,333.9552628624705,463.09793867573586,506.24795653339663
0,MPG-02,650,332.469111802662,461.0370833190665,503.9950771187134
0,MPG-02,660,330.96621773696927,458.9530103270594,501.71681672203135
0,MPG-02,670,329.4465806653922,456.84571969971455,499.41317534335036
0,MPG-02,680,327.9102005879308,454.7152114370319,497.08415298267033
0,MPG-02,690,326.35707750458494,452.56148553901136,494.72974963999127
0,MPG-02,700,324.7872114153548,450.3845420056531,492.3499653153132
0,MPG-02,710,323.2006023202404,448.18438083695713,489.9448000086364
0,MPG-02,720,321.59725021924163,445.9610020329233,487.51425371996044
0,MPG-02,730,319.9771551123585,443.7144055935518,485.0583264492856
0,MPG-02,740,318.34031699959104,441.4445915188424,482.57701819661173
0,MPG-02,750,316.68673588093924,439.15155980879535,480.07032896193897
0,MPG-02,760,315.0164117564031,436.83531046341045,477.53825874526717
0,MPG-02,770,313.3293446259827,434.4958434826878,474.9808075465965
0,MPG-02,780,311.6255344896778,432.1331588666273,472.3979753659267
0,MPG-02,790,309.9049813474887,429.7472566152291,469.7897622032581
0,MPG-02,800,308.16768519941525,427.3381367284931,467.1561680585905
0,MPG-02,810,306.4136460454574,424.90579920641943,464.49719293192396
0,MPG-02,820,304.64286388561527,422.45024404900784,461.81283682325835
0,MPG-02,830,302.85533871988883,419.97147125625855,459.10309973259393
0,MPG-02,840,301.051070548278,417.46948082817147,456.3679816599304
0,MPG-02,850,299.2300593707828,414.9442727647466,453.60748260526793
0,MPG-02,860,297.39230518740334,412.3958470659839,450.8216025686065
0,MPG-02,870,295.5378079981395,409.8242037318835,448.01034154994613
0,MPG-02,880,293.6665678029913,407.2293427624453,445.1736995492868
0,MPG-02,890,291.77858460195876,404.61126415766927,442.3116765666284
0,MPG-02,900,289.87385839504196,401.96996791755555,439.4242726019712
0,MPG-02,910,287.9523891822408,399.30545404210403,436.51148765531497
0,MPG-02,920,286.01417696355526,396.61772253131477,433.5733217266598
0,MPG-02,930,284.0592217389854,393.90677338518765,430.6097748160056
0,MPG-02,940,282.08752350853126,391.17260660372284,427.6208469233525
0,MPG-02,950,280.0990822721927,388.4152221869201,424.6065380487003
0,MPG-02,960,278.0938980299698,385.6346201347797,421.56684819204924
0,MPG-02,970,276.0719707818626,382.83080044730156,418.50177735339923
0,MPG-02,980,274.0333005278711,380.00376312448566,415.4113255327503
0,MPG-02,990,271.9778872679952,377.15350816633185,412.29549273010224
0,MPG-02,1000,269.90573100223503,374.28003557284035,409.1542789454554
0,MPG-02,1010,267.8168317305905,371.38334534401105,405.98768417880945
0,MPG-02,1020,265.7111894530616,368.463437479844,402.7957084301646
0,MPG-02,1030,263.5888041696484,365.5203119803392,399.57835169952085
0,MPG-02,1040,261.44967588035087,362.55396884549657,396.33561398687806
0,MPG-02,1050,259.2938045851689,359.5644080753161,393.06749529223623
0,MPG-02,1060,257.1211902841027,356.551629669798,389.77399561559554
0,MPG-02,1070,254.9318329771521,353.515633628942,386.45511495695587
0,MPG-02,1080,252.72573266431723,350.4564199527483,383.1108533163173
0,MPG-02,1090,250.50288934559796,347.3739886412168,379.7412106936796
0,MPG-02,1100,248.26330302099439,344.2683396943475,376.346187089043
0,MPG-02,1110,246.0069736905065,341.1394731121405,372.9257825024075
0,MPG-02,1120,243.73390135413425,337.98738889459565,369.47999693377295
0,MPG-02,1130,241.44408601187766,334.812087041713,366.00883038313947
0,MPG-02,1140,239.13752766373673,331.61356755349266,362.51228285050706
0,MPG-02,1150,236.8142263097115,328.3918304299345,358.9903543358757
0,MPG-02,1160,234.4741819498019,325.14687567103863,355.4430448392453
0,MPG-02,1170,232.11739458400797,321.8787032768049,351.870354360616
0,MPG-02,1180,229.7438642123297,318.5873132472334,348.2722828999877
0,MPG-02,1190,227.35359083476706,315.2727055823241,344.64883045736036
0,MPG-02,1200,224.9465744513201,311.934880282077,340.9999970327341
0,MPG-02,1210,222.52281506198884,308.57383734649227,337.32578262610895
0,MPG-02,1220,220.08231266677328,305.1895767755697,333.6261872374848
0,MPG-02,1230,217.62506726567332,301.78209856930937,329.90121086686173
0,MPG-02,1240,215.15107885868903,298.3514027277112,326.15085351423966
0,MPG-02,1250,212.66034744582035,294.8974892507752,322.3751151796185
