,well,BHP,Fluid_oldest,Fluid_lowest,Fluid_median
0,MPG-02,0,558.6772839494737,529.3,612.1980696666145
0,MPG-02,10,558.4585083309867,529.0927283993962,611.9583355389244
0,MPG-02,20,558.2363584982179,528.8822600129723,611.7149039502327
0,MPG-02,30,558.0108344511676,528.6685948407286,611.4677749005396
0,MPG-02,40,557.7819361898356,528.4517328826648,611.2169483898448
0,MPG-02,50,557.549663714222,528.231674138781,610.9624244181484
0,MPG-02,60,557.3140170243265,528.0084186090772,610.7042029854504
0,MPG-02,70,557.0749961201495,527.7819662935535,610.4422840917508
0,MPG-02,80,556.8326010016909,527.5523171922098,610.1766677370497
0,MPG-02,90,556.5868316689506,527.319471305046,609.907353921347
0,MPG-02,100,556.3376881219286,527.0834286320622,609.6343426446425
0,MPG-02,110,556.085170360625,526.8441891732585,609.3576339069367
0,MPG-02,120,555.8292783850397,526.6017529286348,609.0772277082293
0,MPG-02,130,555.5700121951728,526.3561198981911,608.7931240485202
0,MPG-02,140,555.3073717910241,526.1072900819274,608.5053229278095
0,MPG-02,150,555.041357172594,525.8552634798438,608.2138243460973
0,MPG-02,160,554.771968339882,525.6000400919401,607.9186283033836
0,MPG-02,170,554.4992052928884,525.3416199182163,607.6197347996681
0,MPG-02,180,554.2230680316131,525.0800029586726,607.3171438349511
0,MPG-02,190,553.9435565560563,524.8151892133089,607.0108554092326
0,MPG-02,200,553.6606708662177,524.5471786821254,606.7008695225126
0,MPG-02,210,553.3744109620975,524.2759713651217,606.3871861747908
0,MPG-02,220,553.0847768436956,524.001567262298,606.0698053660675
0,MPG-02,230,552.7917685110122,523.7239663736543,605.7487270963426
0,MPG-02,240,552.4953859640469,523.4431686991907,605.4239513656162
0,MPG-02,250,552.1956292028001,523.1591742389071,605.0954781738881
0,MPG-02,260,551.8924982272716,522.8719829928035,604.7633075211585
0,MPG-02,270,551.5859930374614,522.5815949608798,604.4274394074273
0,MPG-02,280,551.2761136333696,522.2880101431363,604.0878738326945
0,MPG-02,290,550.9628600149961,521.9912285395726,603.7446107969602
0,MPG-02,300,550.646232182341,521.691250150189,603.3976503002242
0,MPG-02,310,550.3262301354041,521.3880749749853,603.0469923424866
0,MPG-02,320,550.0028538741857,521.0817030139618,602.6926369237475
0,MPG-02,330,549.6761033986857,520.7721342671183,602.3345840440069
0,MPG-02,340,549.3459787089039,520.4593687344548,601.9728337032647
0,MPG-02,350,549.0124798048404,520.1434064159712,601.6073859015207
0,MPG-02,360,548.6756066864953,519.8242473116676,601.2382406387752
0,MPG-02,370,548.3353593538686,519.5018914215441,600.8653979150282
0,MPG-02,380,547.9917378069601,519.1763387456004,600.4888577302796
0,MPG-02,390,547.64474204577,518.8475892838369,600.1086200845294
0,MPG-02,400,547.2943720702984,518.5156430362534,599.7246849777778
0,MPG-02,410,546.940627880545,518.18050000285,599.3370524100244
0,MPG-02,420,546.5835094765099,517.8421601836264,598.9457223812694
0,MPG-02,430,546.2230168581932,517.5006235785829,598.5506948915129
0,MPG-02,440,545.8591500255949,517.1558901877194,598.1519699407548
