,WtDate,TubingPress,IA,WtOilVol,WtGasVol,WtGasRate,WtGasLiftVol,WtWaterVol,WtrLift,WtTotalFluid,WtWaterCut,WtGOR,WtSeparatorPress,WtRemarks,WtInfoOnly,well,HeaderP,WHP,BHP,Optimal_RP,PI
0,2024-01-14,239.6,300.0,221.8,63.0,63.0,0.0,716.8,0.0,938.6,76.4,284.2,225.6,,No,MPG-02,226.87205085445538,243.88147826086953,454.9683578832517,4997.0,0.2066476136574379
1,2024-01-26,239.9,300.0,206.4,62.9,62.9,0.0,338.6,0.0,545.0,62.1,304.6,224.0,,No,MPG-02,232.90273876507138,246.3790153846154,460.10929469655565,4997.0,0.12012632337889839
2,2024-01-28,243.9,320.0,204.0,66.8,66.8,0.0,345.6,0.0,549.6,62.9,327.6,228.0,,No,MPG-02,230.37444703578007,240.21678443579768,457.22198300283276,4997.0,0.12106318809912484
3,2024-02-02,238.5,300.0,198.5,82.9,82.9,0.0,398.9,0.0,597.5,66.8,417.7,222.4,,No,MPG-02,229.12637231985906,247.26063999999997,456.15544933078405,4997.0,0.13158345178584505
4,2024-02-07,239.1,260.0,212.1,82.4,82.4,0.0,465.7,0.0,677.8,68.7,388.4,222.1,,No,MPG-02,225.24779249632178,240.73236000000009,451.56301369862985,4997.0,0.14911657603937592
5,2024-02-10,230.0,280.0,148.5,28.1,28.1,0.0,189.4,0.0,337.9,56.0,189.3,214.0,,No,MPG-02,221.925699580454,238.50199999999998,452.9138125000002,4997.0,0.07436038535745752
6,2024-02-26,257.1,320.0,164.4,27.0,27.0,0.0,212.7,0.0,377.1,56.4,164.4,240.4,,No,MPG-02,265.0312009104222,278.8252342857143,497.40764192139625,4997.0,0.08380759188617425
7,2024-03-01,268.1,320.0,132.5,18.5,18.5,0.0,117.2,0.0,249.6,46.9,139.8,251.7,,No,MPG-02,262.3484278323424,273.9159036144579,490.52553745928384,4997.0,0.055386977575210175
8,2024-03-03,261.3,320.0,149.2,26.1,26.1,0.0,140.8,0.0,290.0,48.6,175.2,245.2,,No,MPG-02,263.5567210949568,273.7889,486.8271581600499,4997.0,0.064299087899632
9,2024-03-07,253.5,320.0,149.0,26.3,26.3,0.0,157.2,0.0,306.2,51.3,176.7,237.2,,No,MPG-02,240.27238679270374,254.11664347826098,461.49075844486947,4997.0,0.06751171339141852
10,2024-03-15,250.1,340.0,147.9,25.6,25.6,0.0,156.9,0.0,304.8,51.5,172.9,233.9,,No,MPG-02,240.3583531707307,252.60598309859154,462.2183929692398,4997.0,0.06721382117441682
11,2024-03-23,254.4,320.0,145.7,25.9,25.9,0.0,188.8,0.0,334.5,56.4,177.5,239.1,,No,MPG-02,252.53338529411732,264.21999999999997,418.13227665706006,4997.0,0.07305299480365601
12,2024-04-03,273.7,320.0,199.1,36.8,36.8,0.0,330.2,0.0,529.3,62.4,184.7,257.0,,No,MPG-02,259.0659162310015,276.3471857142857,0.0,4997.0,0.10592355413247947
13,2024-04-04,268.0,340.0,210.6,40.2,40.2,0.0,335.7,0.0,546.3,61.4,191.0,251.4,,No,MPG-02,258.86519020626287,276.19518367346944,427.8723404255313,4997.0,0.11956330413645697
14,2024-02-16,229.0,280.0,289.4,71.4,71.4,0.0,687.5,0.0,976.9,70.4,246.6,213.6,,No,MPG-14,221.33953243243283,234.20216470588232,771.3194029850746,942.0,5.723556262898316
15,2024-02-25,261.6,300.0,260.5,50.7,50.7,0.0,653.7,0.0,914.2,71.5,194.7,246.6,,No,MPG-14,247.7006448087408,260.2442206896549,788.8385714285716,942.0,5.968865715911325
16,2024-03-03,264.4,280.0,322.2,126.1,126.1,0.0,714.6,0.0,1036.8,68.9,391.5,248.8,,No,MPG-14,263.5567210949568,277.1703452054795,724.7429487179485,942.0,4.772227156180933
17,2024-03-08,253.3,300.0,354.2,136.8,136.8,0.0,767.2,0.0,1121.4,68.4,386.1,237.6,,No,MPG-14,240.56347992761698,254.00786938775528,693.6877777777779,942.0,4.516088616034476
18,2024-03-11,253.4,300.0,331.2,115.9,115.9,0.0,726.3,0.0,1057.5,68.7,349.9,237.9,,No,MPG-14,237.207529084107,250.7306057142858,692.7295454545462,942.0,4.242380036287725
19,2024-03-15,253.2,300.0,309.2,91.7,91.7,0.0,699.1,0.0,1008.3,69.3,296.6,237.7,,No,MPG-14,240.3583531707307,252.92241126760558,689.7347058823527,942.0,3.996982634994435
20,2024-03-23,259.9,300.0,349.1,97.5,97.5,0.0,856.0,0.0,1205.1,71.0,279.2,268.6,,No,MPG-14,252.53338529411732,267.5051739130437,699.2091743119269,942.0,4.963531865690258
21,2024-04-05,260.4,320.0,287.1,68.7,68.7,0.0,751.9,0.0,1039.0,72.4,239.3,245.7,,No,MPG-14,248.71542195287745,263.2021674418604,750.1032142857148,942.0,5.414368959503914
