,Well,ResP,QMax,Avg_fluid,Avg_bhp
0,MPG-02,2577.777777777778,497.7102369566689,470.30000000000007,426.95757265353467
1,MPG-14,1866.6666666666665,1413.4132943319025,1122.1583333333333,742.3571132058474
2,MPG-16,800.0,804.9530863586746,317.6090909090909,603.0968928205211
3,MPG-18,1155.5555555555557,1018.2388574269994,889.4428571428571,337.2105069405161
4,MPH-08,,1018.2388574269994,889.4428571428571,337.2105069405161
5,MPH-16,800.0,594.2400160005667,216.1,620.4677527407254
6,MPH-18,,594.2400160005667,216.1,620.4677527407254
7,MPH-19,1155.5555555555557,941.9677380330813,458.9375,791.9197303528042
8,MPI-06,800.0,321.3,321.3,0.0
9,MPI-15,4000.0,630.7213666249452,602.1299999999999,575.4647013093961
10,MPI-17,1511.111111111111,1418.3545454545454,1418.3545454545454,0.0
11,MPI-20,1155.5555555555557,919.5741630224397,782.6875,374.52537293844824
12,MPI-27,1511.111111111111,1160.2731440687714,1025.3642857142856,417.37879743737733
13,MPI-29,1866.6666666666665,1672.0135011975692,1448.4428571428573,564.689645747627
14,MPI-31,2577.777777777778,2343.291020467133,2106.769230769231,648.4562927142144
15,MPI-33,2222.222222222222,1838.9774011723662,1567.6818181818182,716.1085966278548
16,MPI-36,2933.333333333333,2671.2351366522466,2455.015384615385,635.8498146156779
17,MPI-38,1866.6666666666665,1541.029785414119,1420.4416666666666,395.37473895567274
18,MPI-40,1866.6666666666665,1962.3769230769226,1962.3769230769226,0.0
19,MPJ-06,1511.111111111111,1511.7250018858715,1321.9750000000001,438.7655817269547
20,MPJ-10,2577.777777777778,1823.4977144262443,1401.0636363636365,1101.8729264538608
21,MPJ-27,,1823.4977144262443,1401.0636363636365,1101.8729264538608
22,MPJ-28,1511.111111111111,1463.2227347368457,1290.715,421.18595265644245
23,MPJ-29,1511.111111111111,1319.7534130955632,714.45,970.7705918191998
