,Well,Median Slope,Median Intercept
0,MPG-02,0.9728494648915239,-832.9834888631209
1,MPG-14,0.8182347259465295,-476.9436133325156
2,MPG-16,3.7424220611186634,-2059.798320635804
3,MPG-18,3.3466573086990983,-2583.4386352717775
4,MPH-16,0.6920902298081478,-160.47208733600021
5,MPH-19,3.058435710543859,-2232.8070141341245
6,MPI-15,3.022328933014106,-1494.0468908562948
7,MPI-17,,
8,MPI-20,0.772658894179233,2.356961885461186
9,MPI-27,5.980763120444704,-2153.797203102783
10,MPI-29,0.9904698193632248,-229.28623191883767
11,MPI-31,2.360761221641598,-1371.0113894633496
12,MPI-33,8.309105782810065,-5733.164116665472
13,MPI-36,2.9138278215439484,-1608.335566120536
14,MPI-38,1.330650411825415,-220.53214025638763
15,MPJ-06,1.1707144646219434,-258.36589876997635
16,MPJ-10,1.2367069308478449,1430.555675141682
17,MPJ-28,2.126214691853178,-633.4490634553144
18,MPJ-29,0.21831954455540606,80.10331279821362
