,Well,Mean Slope,Mean Intercept
0,MPG-02,1000000.0,0.0
1,MPG-14,1.3518463827204112,-708.2179798993318
2,MPG-16,5.206735837804149,-2870.9566591298694
3,MPG-18,1000000.0,0.0
4,MPH-16,1.2184540340696155,-483.8798513773877
5,MPH-19,1.7466304372399657,-1073.4951920628196
6,MPI-15,7.592228517302221,-4061.356778707185
7,MPI-20,0.9722269686736994,-57.62110435993449
8,MPI-27,8.662368264125465,-3264.5702246971055
9,MPI-29,1.2684857006300208,-458.6766913471803
10,MPI-31,2.836317072283332,-1406.4545427076225
11,MPI-33,5.73215970951726,-3642.850818056946
12,MPI-36,4.774630622834156,-2591.116083863034
13,MPI-38,1.1432159251453682,-139.43104052966152
14,MPJ-06,1.2440103239989886,-272.4468540460175
15,MPJ-10,1.110249107258339,-605.967570484457
16,MPJ-28,1.8563438778430559,-486.41117806921426
17,MPJ-29,1.4139837395451114,-1010.6085791550233
