,Well,Median Slope,Median Intercept,Mean Slope,Mean Intercept
0,MPF-01,1.3665592030396403,-491.6378595318525,1.527238819254788,-586.061559282613
1,MPF-05,1.1756986569752648,-779.027842525459,1.2174817929745234,-815.7349722914714
2,MPF-06,1.6112571427032771,-1004.9788554941581,1.8728028728289767,-1219.4482381973178
3,MPF-09,1.4416644264951561,-440.45574192859505,1.656166198393827,-565.3429415252235
4,MPF-107,1.486740411773261,-760.8485889982708,1.7745604713584129,-959.6611584910721
5,MPF-109,1.4918678913620884,-505.0240111821203,2.4325942739324673,-1055.2353865669154
6,MPF-116,1.5659566532464795,-820.4909986967698,1.7001770518685722,-916.8269095219116
7,MPF-14,1.2082399361150304,-225.8697880921415,1.352404679053278,-291.97325959217005
8,MPF-25,1.2209760599637938,-497.29591097964135,1.366973557914723,-588.7382676062921
9,MPF-29,1.316344577535573,-442.7979639502093,1.9299623046184478,-815.7310433818561
10,MPF-34,1.591731241489333,-656.842239727104,1.7906798051674557,-774.8972227595057
11,MPF-37,1000000.0,,1000000.0,
12,MPF-38,1000000.0,,1000000.0,
13,MPF-45,1000000.0,,1000000.0,
14,MPF-50,1.7064754399930075,-620.7670758863845,2.1426426659446136,-830.0749453239872
15,MPF-53,1000000.0,,1000000.0,
16,MPF-54,1.4868377012851839,-568.4179493093795,1.8014437721567587,-772.7231606433372
17,MPF-57,1000000.0,,1000000.0,
18,MPF-61,1.2318852335362251,-330.935459456595,1.3921908017203242,-406.1713683877905
19,MPF-62,1.1007167296581737,-234.29351653142152,1.1572473693372194,-258.9429474694042
20,MPF-65,1000000.0,,1000000.0,
21,MPF-66,5.349708407931805,-9922.887637546528,37.771397864053256,-71351.9524920091
22,MPF-73,1.3872904390357466,-85.26363286472798,2.1802344167148533,-340.9090365925575
23,MPF-78,3.3041989335188173,-1305.2549892523234,5.015573529952244,-2166.8060424167643
24,MPF-79,1000000.0,,1000000.0,
25,MPF-81,1000000.0,,1000000.0,
26,MPF-86,1.6678202252865184,-596.0465900131271,1.7221938958950804,-624.2013595250445
27,MPF-93,1.8609669898591399,-1096.8282328814066,2.2349225898841176,-1392.9556464180932
28,MPF-94,1.01963718434627,-159.00029482686128,1.4101268162362939,-323.9580412308042
29,MPF-96,1.09401299828528,-177.21170856378043,1.4015905117277114,-313.72216341823224
30,MPL-01,1.5525156456586169,-503.7550868365514,1.6295736406227268,-555.9048671654919
31,MPL-02,1.25672773469387,-251.0633832217655,1.425430775332498,-326.1016210877418
32,MPL-03,1.4305896784093706,-1131.1176691514652,1.4422236807493998,-1144.103808074457
33,MPL-04,1.1502923964531409,-362.2030298642089,1.192735469100146,-390.01317284860147
34,MPL-06,1000000.0,,1000000.0,
35,MPL-07,1000000.0,,1000000.0,
36,MPL-11,1000000.0,,1000000.0,
37,MPL-12,1000000.0,,1000000.0,
38,MPL-13,1.2237521469142005,-326.818124163098,1.4037012863607108,-439.04293817668423
39,MPL-14,1.0722848492318058,-265.00591876393196,1.1998380176899217,-340.29154603527405
40,MPL-20,1000000.0,,1000000.0,
41,MPL-25,1000000.0,,1000000.0,
42,MPL-28,1000000.0,,1000000.0,
43,MPL-29,8.074639906770855,-17824.76936995933,12.548613950462592,-28882.664924741748
44,MPL-36,1.1498107711169434,-519.4851104927717,1.4008312361797144,-711.8182344692048
45,MPL-39,1000000.0,,1000000.0,
46,MPL-40,13.317985926814355,-5669.698916896099,19.050587325906694,-8404.640208772349
47,MPL-41,1.0927646429754594,-200.53972841794484,1.3953395580600418,-344.78477186004324
48,MPL-43,1000000.0,,1000000.0,
49,MPL-46,1.3051547795833416,-301.309293939545,1.4148312027902978,-394.85622752913105
50,MPL-54,1.7443401501876203,-1066.7789494889867,4.477973686238684,-3226.2683379503687
51,MPL-55,1000000.0,,1000000.0,
52,MPL-56,2.3295380642270525,-1781.1214289768184,6.175478415539888,-5351.658584768158
53,MPL-57,1.4439845595039835,-773.403002187097,4.151640244430994,-2894.2894719297333
54,MPL-60,2.2204780914866387,-2253.3164600926716,3.3075046472950658,-3708.0321211497753
55,MPL-62,2.1173740634393314,-1470.2701684533063,4.2242534459121694,-3497.6248558768257
