,Well,ResP,QMax,Avg_fluid,Avg_bhp
0,MPF-96,1155.5555555555557,669.4126472904205,517.1363636363636,488.4496681021285
1,MPC-46,1155.5555555555557,747.0672852865415,362.25,793.9811456908516
2,MPJ-29,1511.111111111111,1211.704728576336,673.7076923076922,952.6004247134084
3,MPB-28,2577.777777777778,1401.2919523095477,1038.6,1179.0064533714215
4,MPS-57,800.0,517.2206978003991,206.17096774193544,600.7920418785354
5,MPB-39,800.0,264.87111129438364,191.42368421052635,381.49348560015966
6,MPE-11,,264.87111129438364,191.42368421052635,381.49348560015966
7,MPM-14,2222.222222222222,1305.5540854573985,1137.73,655.3116505286778
8,MPI-31,2577.777777777778,2181.9057209384937,1959.7047619047617,652.3091310344731
9,MPL-01,1155.5555555555557,665.8773606603102,483.344827586207,547.229825723506
10,MPF-25,1511.111111111111,1339.2118077525422,987.8,696.9205960785534
11,MPI-20,1155.5555555555557,824.7151529505486,696.9093023255814,384.26119525704416
12,MPE-37,,824.7151529505486,696.9093023255814,384.26119525704416
13,MPL-29,1511.111111111111,1282.977516604026,481.3333333333333,1159.8688283232616
14,MPE-42,1866.6666666666665,1732.134789081739,1351.0625,772.983363212403
15,MPS-05,1155.5555555555557,821.4577193690841,352.25555555555553,842.5941234718244
16,MPM-62,2577.777777777778,2253.9276985539955,2120.738461538462,448.91722509381367
17,MPF-109,1155.5555555555557,723.5755845399185,506.1,578.4209403336862
18,MPF-86,1511.111111111111,713.2716427400217,577.2,572.8204220577875
19,MPI-06,800.0,236.70714285714286,236.70714285714286,0.0
20,MPF-01,1866.6666666666665,1783.5312485508832,1515.5466666666664,608.6219352687579
21,MPF-94,1511.111111111111,1206.0749910224895,1022.9166666666669,496.0528125762598
22,MPL-60,1866.6666666666665,1271.3457357837017,597.7833333333333,1303.556231452407
23,MPF-06,1866.6666666666665,1798.017472316393,1345.7642857142857,839.0435264808251
24,MPF-73,800.0,185.61878275494865,142.47142857142856,342.675
